name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, broiled",1000,10058,,,,0.31,,0.09,,,,,,,,4.45,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean only, cooked, roasted",1000,10059,,,,0.222,,0.04,,,,,,,,3.612,0.997,,0.024,,,0.041,,,,0.022,,,0.029,,3.309,0.829,,,,0.002,0.041,0.022,,,0.037,,,,,,,
"Pork, fresh, loin, tenderloin, separable lean only, raw",1000,10060,,,,0.049,,0.011,,,,,,,,0.792,0.367,,0.003,,,0.013,,,,0.008,,,0.007,,0.719,0.292,,,,,0.013,0.008,,,0.008,,,,,,,
"Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",1000,10061,,,,0.08,,0.02,,,,,,,,1.334,0.506,,0.011,,,0.021,,,,0.012,,,0.013,,1.213,0.411,,,,,0.021,0.012,,,0.013,,,,,,,
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",1000,10062,,,,0.166,,0.047,,,,,,,,2.985,0.878,0.002,0.016,,,0.044,,,,0.02,,,0.027,,2.727,0.743,,,,0.003,0.044,0.02,,,0.032,,,,,,,
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",1000,10063,,,,0.191,,0.058,,,0.005,,,,,3.625,1.29,0.005,0.027,,,0.038,,0.006,,,,,0.044,,3.337,1.129,,,,0.004,0.038,0.01,,,0.044,,,,0.004,,,
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",1000,10064,,,,0.224,,0.061,,,,,,,,3.904,1.048,0.002,0.023,,,0.056,,,,0.03,,,0.034,,3.555,0.877,,,0.007,0.003,0.056,0.03,,,0.039,,,,,,,
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",1000,10065,,,,0.191,,0.055,,,,,,,,3.517,0.999,0.002,0.023,,,0.051,,,,0.028,,,0.032,,3.212,0.843,,,0.006,0.002,0.051,0.028,,,0.036,,,,,,,
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw",1000,10066,,,,0.102,,0.023,,,,,,,,1.546,0.366,,0.004,,,0.017,,,,0.007,,,0.009,,1.403,0.293,,,,,0.017,0.007,,,0.011,,,,,,,
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, braised",1000,10067,,,,0.12,,0.029,,,0.003,,,,,1.934,0.551,0.002,0.011,,,0.015,,,,,,,0.018,,1.77,0.468,,,,,0.015,,,,0.016,,,,,,,
